"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction de pétrole brut (NAF rév. 2, niveau groupe, poste 06.1)";"Codes"
"idBank";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";"";"010767578";""
"Mises à jour";"04/04/2025 08:45";"";"05/03/2025 08:45";"";"05/02/2025 08:45";"";"10/01/2025 08:45";"";"05/12/2024 08:45";"";"05/11/2024 08:45";"";"04/10/2024 08:45";"";"06/09/2024 08:45";"";"02/08/2024 08:45";"";"05/07/2024 08:45";"";"05/06/2024 08:45";"";"03/05/2024 08:45";"";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025-02";"79.51";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025-01";"75.78";"A";"75.36";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-12";"81.32";"A";"80.91";"A";"81.68";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-11";"81.2";"A";"80.89";"A";"81.31";"A";"81.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-10";"82.66";"A";"82.49";"A";"82.75";"A";"82.74";"A";"82.76";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-09";"83.77";"A";"83.72";"A";"83.89";"A";"83.87";"A";"83.88";"A";"84.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-08";"82.3";"A";"82.4";"A";"82.4";"A";"82.43";"A";"82.42";"A";"82.62";"A";"82.36";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";""
